"mos_date","mosquito"
"2017-01-01",1.458064516
"2017-02-01",1.146428571
"2017-03-01",8.016666667
"2017-04-01",44.90333333
"2017-05-01",311.8741935
"2017-06-01",668.2
"2017-07-01",924.340625
"2017-08-01",373.4433333
"2017-09-01",482.4852941
"2017-10-01",142.9516129
"2017-11-01",5.5
"2017-12-01",5.5
"2018-01-01",5.5
"2018-02-01",5.5
"2018-03-01",5.5
"2018-04-01",21.80333333
"2018-05-01",141.5354839
"2018-06-01",587.3125
"2018-07-01",787.6258065
"2018-08-01",156.0129032
"2018-09-01",524.7566667
"2018-10-01",113.8933333
"2018-11-01",5.5
"2018-12-01",5.5
"2019-01-01",5.5
"2019-02-01",5.5
"2019-03-01",5.5
"2019-04-01",6.296666667
"2019-05-01",240.9032258
"2019-06-01",555.173913
"2019-07-01",821.3967742
"2019-08-01",252.9806452
"2019-09-01",533.0366667
"2019-10-01",269.7387097
"2019-11-01",5.5
"2019-12-01",5.5
"2020-01-01",5.5
"2020-02-01",11.61904762
"2020-03-01",15.00947742
"2020-04-01",16.30172414
"2020-05-01",36.7483871
"2020-06-01",52.59666667
"2020-07-01",50.4483871
"2020-08-01",61.07096774
"2020-09-01",47.546875
"2020-10-01",20.42258065
"2020-11-01",15.0
"2020-12-01",15.0
"2021-01-01",13.5875
"2021-02-01",4.272413793
"2021-03-01",14.17428571
"2021-04-01",26.57272727
"2021-05-01",33.34545455
"2021-06-01",45.25454545
"2021-07-01",58.27142857
"2021-08-01",55.17352941
"2021-09-01",46.72121212
"2021-10-01",32.15142857
"2021-11-01",14.38333333
"2021-12-01",3.370967742
"2022-01-01",0.353125
"2022-02-01",0.707142857
"2022-03-01",10.65625
"2022-04-01",26.54333333
"2022-05-01",34.5625
"2022-06-01",47.31
"2022-07-01",53.80322581
"2022-08-01",48.38387097
"2022-09-01",41.56774194
"2022-10-01",25.98709677
"2022-11-01",17.83225806
"2022-12-01",0.696774194
